Team,AST,REB,FG_PCT,TOV
ATL,26.585365853658537,44.670731707317074,0.4664146341463413,12.75609756097561
BKN,25.634146341463413,44.0609756097561,0.45710975609756094,12.317073170731707
BOS,26.914634146341463,46.329268292682926,0.48765853658536584,11.268292682926829
CHA,24.79268292682927,40.28048780487805,0.4611951219512195,12.987804878048781
CHI,24.975609756097562,43.81707317073171,0.47135365853658534,11.670731707317072
CLE,28.036585365853657,43.28048780487805,0.4795487804878048,12.74390243902439
DAL,25.682926829268293,42.9390243902439,0.48148780487804876,12.085365853658537
DEN,29.451219512195124,44.4390243902439,0.49702439024390244,11.792682926829269
DET,25.463414634146343,43.329268292682926,0.46397560975609753,14.646341463414634
GSW,29.29268292682927,46.707317073170735,0.47793902439024394,13.707317073170731
HOU,24.817073170731707,45.451219512195124,0.4594756097560976,12.207317073170731
IND,30.75609756097561,41.52439024390244,0.5085000000000002,12.268292682926829
LAC,25.573170731707318,42.96341463414634,0.48913414634146346,12.231707317073171
LAL,28.536585365853657,43.109756097560975,0.49960975609756103,13.414634146341463
MEM,24.695121951219512,42.609756097560975,0.43523170731707317,14.21951219512195
MIA,25.804878048780488,42.292682926829265,0.4654634146341463,11.817073170731707
MIL,26.536585365853657,44.170731707317074,0.4880121951219513,12.378048780487806
MIN,26.634146341463413,43.6219512195122,0.4865,13.353658536585366
NOP,26.951219512195124,43.96341463414634,0.4867682926829268,12.414634146341463
NYK,24.365853658536587,45.170731707317074,0.4662926829268293,12.231707317073171
OKC,27.109756097560975,42.03658536585366,0.5000243902439024,11.829268292682928
ORL,24.670731707317074,42.30487804878049,0.4777682926829268,13.78048780487805
PHI,24.890243902439025,42.951219512195124,0.46545121951219515,11.268292682926829
PHX,27.048780487804876,44.073170731707314,0.49454878048780493,14.097560975609756
POR,23.097560975609756,42.74390243902439,0.43967073170731713,14.414634146341463
SAC,28.341463414634145,43.98780487804878,0.476719512195122,12.548780487804878
SAS,29.865853658536587,44.23170731707317,0.46335365853658544,14.609756097560975
TOR,28.475609756097562,42.65853658536585,0.4716585365853658,13.426829268292684
UTA,27.21951219512195,45.451219512195124,0.46763414634146344,14.975609756097562
WAS,27.902439024390244,41.073170731707314,0.4708414634146342,13.548780487804878
